year,make,model,price,miles,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,motor_type,standard_type,epa_rating_city,total_actual_miles,total_actual_fuel,epa_expected_fuel,actual_fuel_economy_geotab,percent_difference_actual_to_epa,estimated_fuel_costs_per_gallon,fuel_costs_per_mile
2008,Ford,Focus,3995.0,126478.0,S,Sedan,Car,FWD,Automatic,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5999.0,102336.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5988.0,115969.0,SE,Coupe,Car,FWD,Automatic,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,6980.0,69128.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,4800.0,122300.0,S,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5794.0,119809.0,S,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,3950.0,175084.0,SES,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5386.0,81168.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,4450.0,155000.0,SE,Coupe,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,2495.0,237563.0,SE,Coupe,Car,FWD,Automatic,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5850.0,93000.0,SE,Coupe,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,4585.0,117315.0,SE,Coupe,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Fusion,3355.0,195000.0,SEL,Sedan,Car,FWD,Automatic,Unleaded,3.0,Non-Hybrid,SEDAN,18,29482,1813.0,1637.89,16.26,-0.1,"$4,532.50 ",$0.15 
2008,Ford,Fusion,6998.0,92017.0,SE,Sedan,Car,4WD,Automatic,Unleaded,3.0,Non-Hybrid,SEDAN,18,29482,1813.0,1637.89,16.26,-0.1,"$4,532.50 ",$0.15 
2008,Ford,Fusion,6995.0,100856.0,SEL,Sedan,Car,4WD,Automatic,Unleaded,3.0,Non-Hybrid,SEDAN,18,29482,1813.0,1637.89,16.26,-0.1,"$4,532.50 ",$0.15 
2008,Ford,Fusion,5454.0,171658.0,SE,Sedan,Car,FWD,Automatic,Unleaded,3.0,Non-Hybrid,SEDAN,18,29482,1813.0,1637.89,16.26,-0.1,"$4,532.50 ",$0.15 
2008,Ford,Fusion,6998.0,92017.0,SE,Sedan,Car,4WD,Automatic,Unleaded,3.0,Non-Hybrid,SEDAN,18,29482,1813.0,1637.89,16.26,-0.1,"$4,532.50 ",$0.15 
2008,Ford,Fusion,6495.0,130417.0,SE,Sedan,Car,FWD,Automatic,Unleaded,3.0,Non-Hybrid,SEDAN,18,29482,1813.0,1637.89,16.26,-0.1,"$4,532.50 ",$0.15 
2008,Ford,Fusion,5494.0,171658.0,SE,Sedan,Car,FWD,Automatic,Unleaded,3.0,Non-Hybrid,SEDAN,18,29482,1813.0,1637.89,16.26,-0.1,"$4,532.50 ",$0.15 
2008,Ford,Fusion,7400.0,91129.0,SE,Sedan,Car,FWD,Automatic,Unleaded,3.0,Non-Hybrid,SEDAN,18,29482,1813.0,1637.89,16.26,-0.1,"$4,532.50 ",$0.15 
